Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Internal standard retention time (min),Sample mass
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,0.00E+00,2.38,8.01E+04,2.38,1.00E+00
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.66E+04,2.38,4.80E+04,2.41,1.00E+00
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,2.24E+04,2.41,4.80E+04,2.41,1.00E+00
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,5.22E+04,2.41,4.80E+04,2.41,1.00E+00
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.03E+05,2.41,4.80E+04,2.39,1.00E+00
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.64E+05,2.41,4.80E+04,2.41,1.00E+00
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,3.55E+05,2.41,4.80E+04,2.39,1.00E+00
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,7.79E+05,2.4,4.80E+04,2.41,1.00E+00
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.12E+06,2.41,4.80E+04,2.4,1.00E+00
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,2.67E+06,2.43,4.80E+04,2.42,1.00E+00
2022_20MCWater_FieldBlank,Blank,Field,Water,20MC,PFHxA,0.00E+00,0,4.80E+04,2.39,1.00E+00
2022_20MCWater_FieldSpike1,Spike,Field,Water,20MC,PFHxA,1.06E+04,2.43,4.80E+04,2.43,1.00E+00
2022_20MCWater_FieldSpike2,Spike,Field,Water,20MC,PFHxA,1.09E+04,2.42,4.80E+04,2.39,1.00E+00
2022_20MCWater_LabBlank,Blank,Lab,Water,20MC,PFHxA,0.00E+00,0,4.80E+04,2.43,1.00E+00
2022_20MCWater_Sample1,Sample,Field,Water,20MC,PFHxA,0.00E+00,0,4.80E+04,2.42,1.00E+02
2022_20MCWater_Sample2,Sample,Field,Water,20MC,PFHxA,0.00E+00,0,4.80E+04,2.42,1.00E+02
2022_20MCWater_Sample3,Sample,Field,Water,20MC,PFHxA,3.58E+03,2.42,4.80E+04,2.44,1.00E+02
2022_20MCWater_Sample4,Sample,Field,Water,20MC,PFHxA,5.73E+03,2.43,4.80E+04,2.41,1.00E+03
2022_NIAWater_FieldBlank1,Blank,Field,Water,NIA,PFHxA,1.92E+03,2.43,4.80E+04,2.43,1.00E+00
2022_NIAWater_FieldBlank2,Blank,Field,Water,NIA,PFHxA,1.96E+03,2.45,4.80E+04,2.42,1.00E+00
2022_NIAWater_FieldSpike1,Spike,Field,Water,NIA,PFHxA,1.08E+04,2.4,4.80E+04,2.43,1.00E+00
2022_NIAWater_FieldSpike2,Spike,Field,Water,NIA,PFHxA,1.36E+04,2.43,4.80E+04,2.4,1.00E+00
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFHxA,1.98E+03,2.45,4.80E+04,2.43,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFHxA,2.97E+04,2.42,4.80E+04,2.42,1.00E+02
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFHxA,3.05E+04,2.4,4.80E+04,2.4,1.00E+02
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFHxA,2.68E+04,2.36,4.80E+04,2.36,1.00E+02
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,0,4.80E+04,2.45,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,4.80E+04,2.42,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,4.80E+04,2.44,2.14E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFHxA,1.60E+04,2.47,4.80E+04,2.5,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,0,4.80E+04,2.45,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,4.80E+04,2.42,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,4.80E+04,2.48,1.03E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFHxA,6.13E+03,2.5,4.80E+04,2.48,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFHxA,2.01E+02,2.57,4.80E+04,2.51,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFHxA,2.35E+02,2.5,4.80E+04,2.48,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFHxA,2.40E+02,2.58,4.80E+04,2.46,1.03E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFHxA,2.94E+03,2.47,4.80E+04,2.45,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,0,4.80E+04,2.46,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,4.80E+04,2.41,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,4.80E+04,2.45,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFHxA,5.04E+03,2.47,4.80E+04,2.5,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFHxA,4.47E+02,2.42,4.80E+04,2.42,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Pestle,Biota,NIA,PFHxA,4.43E+02,2.43,4.80E+04,2.41,7.43E-01
2022_NIABiota_GroupA_Crayfish2,Sample,Pestle,Biota,NIA,PFHxA,5.21E+02,2.44,4.80E+04,2.41,6.35E-01
2022_NIABiota_GroupA_MortarBlank,Blank,Pestle,Biota,NIA,PFHxA,2.00E+03,2.43,4.80E+04,2.43,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Pestle,Biota,NIA,PFHxA,1.99E+04,2.44,4.80E+04,2.4,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFHxA,2.32E+04,3.69,4.80E+04,3.93,7.31E-01
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFHxA,1.19E+04,3.69,4.80E+04,3.92,8.26E-01
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.80E+04,2.44,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFHxA,9.24E+03,2.45,4.80E+04,2.42,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHxA,8.03E+02,2.43,4.80E+04,2.42,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHxA,2.34E+04,2.42,4.80E+04,2.42,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFHxA,2.35E+02,2.43,4.80E+04,2.39,1.00E-01
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFHxA,4.65E+02,2.45,4.80E+04,2.43,1.00E-01
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFHxA,6.08E+02,2.42,4.80E+04,2.41,6.20E-01
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFHxA,3.62E+02,2.42,4.80E+04,2.44,6.91E-01
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFHxA,0.00E+00,4,4.80E+04,2.39,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFHxA,5.43E+03,2.39,4.80E+04,2.44,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.80E+04,2.4,7.03E-01
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.80E+04,2.48,8.45E-01
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHxA,7.54E+02,2.43,4.80E+04,2.41,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHxA,6.31E+03,2.45,4.80E+04,2.99,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFHxA,8.23E+02,2.96,4.80E+04,3.04,6.74E-01
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFHxA,5.33E+02,2.93,4.80E+04,3.02,7.11E-01
2022_NIABiota_GroupD_Crayfish1,Sample,Pestle,Biota,NIA,PFHxA,5.19E+02,2.4,4.80E+04,2.44,5.77E-01
2022_NIABiota_GroupD_Crayfish2,Sample,Pestle,Biota,NIA,PFHxA,6.39E+02,2.41,4.80E+04,2.41,5.61E-01
2022_NIABiota_GroupD_MortarBlank,Blank,Pestle,Biota,NIA,PFHxA,5.85E+02,2.44,4.80E+04,2.42,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Pestle,Biota,NIA,PFHxA,1.85E+04,2.39,4.80E+04,2.41,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.80E+04,2.39,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,2.03,4.80E+04,2.41,8.01E-01
2022_NIABiota_GroupE_MortarBlank,Blank,Pestle,Biota,NIA,PFHxA,0.00E+00,0,4.80E+04,2.43,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Pestle,Biota,NIA,PFHxA,1.51E+04,2.41,4.80E+04,2.39,1.00E+00
